,User,Date Created,Number of Likes,Source of Tweet,Tweet,Feeling
378,Globalcoinrsrch,2020-01-03 18:19:25+00:00,3,Buffer,"Highlights from @polkadotnetwork's  2019 #recap with strong focus on Asia: 3 tours of #China; @polkadotnetwork Incubator launched with #Longhash out of #Singapore; @polkaworld_org hackathon saw twenty-two teams compete in Hangzhou, China. https://t.co/ccT2o2WFH0",Positive
379,Globalcoinrsrch,2020-01-02 16:13:36+00:00,6,Buffer,"Highlights from @gavofyork Polkadot's  2019 recap with strong focus on Asia, including:

3 tours of China; Polkadot Incubator launched with Longhash out of Singapore; Polkaworld hackathon saw twenty-two teams compete in Hangzhou, China. https://t.co/ccT2o2WFH0 https://t.co/QHS6CWfu1o",Positive
380,_p0lar_bear,2020-01-01 20:23:13+00:00,16,Twitter Web App,"- Attended the @fossasia OpenTech Summit in Singapore 
- Won second place in the FOSSASIA-UNESCO Hackathon(IBM Cloud category)  
- Wrote a conference paper which got selected to be presented in International Conference on Optics and Electro-Optics 2019, held at IRDE, DRDO",Positive
381,_pict_acm_,2019-12-31 15:01:25+00:00,16,Twitter for Android,"This won them a hefty amount of 4000 Singapore Dollars(INR 2,00,000) and commendable honor and mentions in the field of innovations.
The members were also the runner ups of 3 major college level hackathons.
.
#hackathon #pict #pasc #acm #winners #honour",Positive
382,_pict_acm_,2019-12-31 15:00:05+00:00,15,Twitter for Android,"Along with this, two members of the team were selected for the prestigious Singapore-India International Hackathon which they won, for the problem statement: Attentiveness detection in classrooms and reward systems. 
.
@Indiaacm @ACMIndia",Positive
383,NTUsg,2019-12-31 10:19:33+00:00,10,Twitter for iPhone,"#NTUsg climbing up the QS @worlduniranking 2019, a self-driving fully electric Volvo bus, the 2nd Singapore-India Hackathon and a PhD agreement between NTU and SMU were top tweets for us in 2019. See our Moments of 2019 for the Top 10 tweets of this year. https://t.co/FJtQlu8ChN",Positive
384,girlsintechuwc,2019-12-27 05:56:41+00:00,3,Twitter Web App,"🔴 EVENT 🔴⁣

SheHACKS - Singapore’s all-female hackathon is back!⁣
Sign up now before it’s too late! ⁣
↳ https://t.co/coNJ6qM8Vg⁣
⁣
#GirlsInTech #SingaporeEvents #Hackathon https://t.co/tXbuOXKXMt",Neutral
385,MLHacks,2019-12-19 05:12:02+00:00,30,Buffer,"We're so excited to be partnering with our first Singapore hackathon since the debut of the APAC league!
Hack with us next month at Hack&amp;Roll at Cinnamon College, Cinnamon-Tembusu Dining Hall
https://t.co/LDbS1k9EQx https://t.co/9I0idgeOdY",Positive
386,dtinth,2019-12-18 15:46:06+00:00,4,Twitter Web App,@supersillyhack @cheeaun @hj_chen Thanks @lihautan @tzyinc @qiannyqianhere @yishusee for a warm welcome and a nice post-hackathon hangout! Sorry I tend to appear to forget names. It turns out upon reflection one thing I noticed myself struggle with the most while in Singapore is “how to refer to others’ name.”,Positive
387,nushackers,2019-12-18 14:09:13+00:00,10,Twitter Web App,"Hack&amp;Roll 2020 will be taking place on 18–19 Jan 2020 at Cinnamon-Tembusu Dining Hall. Hack&amp;Roll is Singapore's largest student-run hackathon with over 550 participants last year. Enjoy great food, great fun, and win one of the many prizes! Sign up now at https://t.co/KUUldyHWcn!",Positive
388,MobileOnlyBank,2019-12-15 22:12:00+00:00,1,drumup.io,Podcast:RegPac Revolution and F10 Hackathon Singapore https://t.co/LzxOQH1Cvk #regpacrevolution #singapore #regtech @fintechch #mobielonly,Neutral
389,MeKanhaiyakumar,2019-12-15 07:06:41+00:00,0,VIC Pro,Have a look https://t.co/3eq2wvFyjR PM Narendra Modi's Address | Singapore India Hackathon 2019,Neutral
390,SDDCCommander,2019-12-12 16:19:14+00:00,0,IFTTT,"As inclusive innovators, VMwareSG partnered with APSN to host an Ideas Hackathon for creating an app to make Singapore more special needs #inclusive. Check it out! https://t.co/wXQYz2eNYr",Positive
391,vmwarevcf,2019-12-12 16:00:28+00:00,0,Salesforce - Social Studio,"As inclusive innovators, @VMwareSG partnered with APSN to host an Ideas Hackathon for creating an app to make Singapore more special needs #inclusive. Check it out! https://t.co/TdurOihNFd",Positive
392,SingaporeCSS,2019-12-11 00:33:03+00:00,5,Twitter Web App,"We want to remind everyone who's in Singapore this Saturday that the most bo-liao hackathon in the world (possibly) is back again. At the AH-MAZ-ING @thecarousell offices. You've worked hard this year. Time to de-stress with us. 💙💙💙
Still got ticket: https://t.co/oPs4Q46uUS",Positive
393,Muhd_Amrullah,2019-12-06 03:14:22+00:00,1,Twitter for iPhone,"Idea - Airplane hackathon: build and validate an MVP startup idea within a 21-hour flight. #bestworstidea Journey is from Singapore to Boston. Once arrive in Boston, raise a fundraising round in 24 hours. and then on return flight, call folks and start hiring.",Positive
394,c_ross_blanco,2019-12-05 14:08:00+00:00,3,drumup.io,Podcast:RegPac Revolution and F10 Hackathon Singapore https://t.co/cX1RqeRTTo #regpacrevolution #singapore #regtech @fintechch,Neutral
395,AtharvaEngg,2019-12-05 08:19:46+00:00,3,Twitter Web App,"Team &lt;/&gt;VENGERS from Dept. Of Computers, ACE is proud to make it to the Top #5 teams across Asia for the Hack Asia Hackathon 2019 in Singapore.
#ACE #Singapore #Asiahackathon https://t.co/QKSVSHtVx7",Positive
